Godot Engine v4.2.2.stable.mono.official.15073afe3 - https://godotengine.org
Vulkan API 1.4.308 - Forward+ - Using Vulkan Device #0: AMD - AMD Radeon RX 7900 XT
Requested V-Sync mode: Enabled - FPS will likely be capped to the monitor refresh rate.
 
Chunk generated with 872 vertices, 1308 indices, and 1 collision shape
Chunk generated with 1228 vertices, 1842 indices, and 1 collision shape
Chunk generated with 968 vertices, 1452 indices, and 1 collision shape
Chunk generated with 740 vertices, 1110 indices, and 1 collision shape
Chunk generated with 748 vertices, 1122 indices, and 1 collision shape
Chunk generated with 788 vertices, 1182 indices, and 1 collision shape
Chunk generated with 784 vertices, 1176 indices, and 1 collision shape
Chunk generated with 900 vertices, 1350 indices, and 1 collision shape
Chunk generated with 1076 vertices, 1614 indices, and 1 collision shape
Chunk generated with 972 vertices, 1458 indices, and 1 collision shape
Chunk generated with 936 vertices, 1404 indices, and 1 collision shape
Chunk generated with 1096 vertices, 1644 indices, and 1 collision shape
Chunk generated with 820 vertices, 1230 indices, and 1 collision shape
Chunk generated with 1132 vertices, 1698 indices, and 1 collision shape
Chunk generated with 804 vertices, 1206 indices, and 1 collision shape
Chunk generated with 900 vertices, 1350 indices, and 1 collision shape
Chunk generated with 840 vertices, 1260 indices, and 1 collision shape
Chunk generated with 988 vertices, 1482 indices, and 1 collision shape
Chunk generated with 912 vertices, 1368 indices, and 1 collision shape
Chunk generated with 968 vertices, 1452 indices, and 1 collision shape
Chunk generated with 840 vertices, 1260 indices, and 1 collision shape
Chunk generated with 1032 vertices, 1548 indices, and 1 collision shape
Chunk generated with 940 vertices, 1410 indices, and 1 collision shape
Chunk generated with 1180 vertices, 1770 indices, and 1 collision shape
Chunk generated with 976 vertices, 1464 indices, and 1 collision shape
Chunk generated with 648 vertices, 972 indices, and 1 collision shape
Chunk generated with 856 vertices, 1284 indices, and 1 collision shape
Chunk generated with 848 vertices, 1272 indices, and 1 collision shape
Chunk generated with 856 vertices, 1284 indices, and 1 collision shape
Chunk generated with 808 vertices, 1212 indices, and 1 collision shape
Chunk generated with 916 vertices, 1374 indices, and 1 collision shape
Chunk generated with 836 vertices, 1254 indices, and 1 collision shape
Chunk generated with 920 vertices, 1380 indices, and 1 collision shape
Chunk generated with 680 vertices, 1020 indices, and 1 collision shape
Chunk generated with 744 vertices, 1116 indices, and 1 collision shape
Chunk generated with 812 vertices, 1218 indices, and 1 collision shape
Chunk generated with 936 vertices, 1404 indices, and 1 collision shape
Chunk generated with 740 vertices, 1110 indices, and 1 collision shape
Chunk generated with 1000 vertices, 1500 indices, and 1 collision shape
Chunk generated with 820 vertices, 1230 indices, and 1 collision shape
Chunk generated with 908 vertices, 1362 indices, and 1 collision shape
Chunk generated with 904 vertices, 1356 indices, and 1 collision shape
Chunk generated with 932 vertices, 1398 indices, and 1 collision shape
Chunk generated with 868 vertices, 1302 indices, and 1 collision shape
Chunk generated with 688 vertices, 1032 indices, and 1 collision shape
Chunk generated with 788 vertices, 1182 indices, and 1 collision shape
Chunk generated with 1124 vertices, 1686 indices, and 1 collision shape
Chunk generated with 832 vertices, 1248 indices, and 1 collision shape
Chunk generated with 856 vertices, 1284 indices, and 1 collision shape
Chunk generated with 884 vertices, 1326 indices, and 1 collision shape
Chunk generated with 864 vertices, 1296 indices, and 1 collision shape
Chunk generated with 908 vertices, 1362 indices, and 1 collision shape
Chunk generated with 788 vertices, 1182 indices, and 1 collision shape
Chunk generated with 648 vertices, 972 indices, and 1 collision shape
Chunk generated with 1060 vertices, 1590 indices, and 1 collision shape
Chunk generated with 848 vertices, 1272 indices, and 1 collision shape
Chunk generated with 628 vertices, 942 indices, and 1 collision shape
Chunk generated with 888 vertices, 1332 indices, and 1 collision shape
Chunk generated with 984 vertices, 1476 indices, and 1 collision shape
Chunk generated with 784 vertices, 1176 indices, and 1 collision shape
Chunk generated with 876 vertices, 1314 indices, and 1 collision shape
Chunk generated with 724 vertices, 1086 indices, and 1 collision shape
Chunk generated with 792 vertices, 1188 indices, and 1 collision shape
Chunk generated with 768 vertices, 1152 indices, and 1 collision shape
Chunk generated with 752 vertices, 1128 indices, and 1 collision shape
Chunk generated with 956 vertices, 1434 indices, and 1 collision shape
Chunk generated with 748 vertices, 1122 indices, and 1 collision shape
Chunk generated with 1020 vertices, 1530 indices, and 1 collision shape
